"","V1","V2"
"203","Geschenk","0.4792"
"204","Geschick","0.004"
"205","Geschicklichkeit","0.004"
"206","Gesundheit","0.004"
"207","Gesundung","0.004"
"208","Gewinn","0.004"
"209","Gewinner","0.004"
"210","Gewährleistung","0.004"
"211","Glamour","0.004"
"212","Glanz","0.004"
"213","Glaube","0.004"
"214","Glaubwürdigkeit","0.004"
"215","Gleichstellung","0.004"
"216","Glück","0.2452"
"217","Glückseligkeit","0.004"
"218","Glückwunsch","0.2193"
"219","Gnade","0.004"
"220","Gratulation","0.428"
"221","Grenzenlosigkeit","0.004"
"222","Großzügigigkeit","0.004"
"223","Größe","0.004"
"224","Gründlichkeit","0.004"
"225","Gunst","0.004"
"226","Gönner","0.004"
"227","Gönnerschaft","0.004"
"228","Gültigkeit","0.004"
"229","Güte","0.004"
"230","Hammer","0.004"
"231","Harmonie","0.0795"
"232","Harmonisierung","0.004"
"233","Hartnäckigkeit","0.004"
"234","Heiligtum","0.004"
"235","Heilung","0.004"
"236","Heirat","0.004"
"237","Heiterkeit","0.004"
"238","Helligkeit","0.004"
"239","Herrlichkeit","0.004"
"240","Highlight","0.004"
"241","Hilfe","0.004"
"242","Hilfsbereitschaft","0.004"
"243","Hingabe","0.004"
"244","Hochdruckgebiet","0.004"
"245","Hochruf","0.004"
"246","Hochwertigkeit","0.004"
"247","Hoffnung","0.2038"
"248","Humanität","0.004"
"249","Humor","0.3296"
"250","Hurra","0.004"
"251","Hurrageschrei","0.004"
"252","Höflichkeit","0.004"
"253","Höhepunkt","0.004"
"254","Individualität","0.004"
"255","Innovation","0.004"
"256","Inspiration","0.004"
"257","Integrität","0.004"
"258","Intellekt","0.004"
"259","Intelligenz","0.004"
"260","Interesse","0.004"
"261","Interessenvertretung","0.004"
"262","Investition","0.004"
"263","Jubel","0.0652"
"264","Jubiläum","0.004"
"265","Kauf","0.004"
"266","Klarheit","0.004"
"267","Komfort","0.1808"
"268","Kommunikation","0.004"
"269","Kompatibilität","0.004"
"270","Kompensation","0.004"
"271","Kompetenz","0.004"
"272","Kompliment","0.3323"
"273","Kompromiss","0.004"
"274","Konjunkturaufschwung","0.004"
"275","Konsens","0.004"
"276","Konsistenz","0.004"
"277","Konsolidierung","0.004"
"278","Konstanz","0.004"
"279","Konsultation","0.004"
"280","Kontinuität","0.004"
"281","Kooperation","0.004"
"282","Koordinierung","0.004"
"283","Korrektheit","0.004"
"284","Korrektur","0.004"
"285","Kostbarkeit","0.004"
"286","Kraft","0.004"
"287","Kreativität","0.0768"
"288","Kulanz","0.004"
"289","Kur","0.0859"
"290","Langlebigkeit","0.004"
"291","Laune","0.1085"
"292","Lebensfähigkeit","0.004"
"293","Legalität","0.004"
"294","Legitimität","0.004"
"295","Leichtigkeit","0.1725"
"296","Leidenschaft","0.004"
"297","Leistung","0.004"
"298","Leistungsfähigkeit","0.004"
"299","Liberalismus","0.004"
"300","Liebe","0.0985"
"301","Liebling","0.0873"
"302","Linderung","0.004"
"303","Lob","0.7246"
"304","Lohn","0.004"
"305","Loyalität","0.004"
"306","Luxus","0.004"
"307","Lösung","0.004"
"308","Macht","0.004"
"309","Magie","0.004"
"310","Majestät","0.004"
"311","Maximum","0.004"
"312","Meisterschaft","0.004"
"313","Meisterwerk","0.004"
"314","Menschenwürde","0.004"
"315","Menschlichkeit","0.004"
"316","Milde","0.004"
"317","Mitgefühl","0.004"
"318","Mobilität","0.004"
"319","Modernisierung","0.004"
"320","Modernität","0.004"
"321","Moral","0.004"
"322","Motivation","0.004"
"323","Mut","0.6093"
"324","Möglichkeit","0.004"
"325","Nachhaltigkeit","0.004"
"326","Nutzen","0.004"
"327","Nähe","0.0911"
"328","Oase","0.004"
"329","Optimalität","0.004"
"330","Optimismus","0.0882"
"331","Optimist","0.0836"
"332","Ordnungsmäßigkeit","0.004"
"333","Originalität","0.004"
"334","Pannenhilfe","0.004"
"335","Paradies","0.004"
"336","Partner","0.004"
"337","Partnerschaft","0.0779"
"338","Perfektion","0.004"
"339","Perfektionismus","0.004"
"340","Perfektionist","0.004"
"341","Pflege","0.004"
"342","Phantasie","0.075"
"343","Plausibilität","0.004"
"344","Positivität","0.004"
"345","Potenz","0.004"
"346","Pracht","0.004"
"347","Praktikabilität","0.004"
"348","Premium","0.004"
"349","Prestige","0.004"
"350","Privileg","0.004"
"351","Produktivität","0.004"
"352","Profit","0.004"
"353","Progression","0.004"
"354","Prächtigkeit","0.004"
"355","Präferenz","0.004"
"356","Präzision","0.004"
"357","Pünktlichkeit","0.004"
"358","Qualifikation","0.004"
"359","Qualität","0.004"
"360","Qualitätsverbesserung","0.004"
"361","Rat","0.004"
"362","Recht","0.004"
"363","Rechtmäßigkeit","0.004"
"364","Rechtsgültigkeit","0.004"
"365","Rehabilitation","0.004"
"366","Reichtum","0.004"
"367","Reinheit","0.004"
"368","Reinigung","0.004"
"369","Relevanz","0.004"
"370","Renovierung","0.004"
"371","Rentabilität","0.004"
"372","Reparatur","0.004"
"373","Respekt","0.004"
"374","Rettung","0.0707"
"375","Robustheit","0.004"
"376","Romantik","0.0688"
"377","Ruhe","0.5017"
"378","Ruhm","0.004"
"379","Rückendeckung","0.004"
"380","Rückgrat","0.004"
"381","Rücksicht","0.004"
"382","Rückversicherung","0.004"
"383","Sauberkeit","0.0755"
"384","Schatz","0.1096"
"385","Schenkung","0.004"
"386","Schirmherr","0.004"
"387","Schirmherrschaft","0.004"
"388","Schlauheit","0.004"
"389","Schmuck","0.004"
"390","Schnelligkeit","0.004"
"391","Schnäppchen","0.004"
"392","Schuldlosigkeit","0.004"
"393","Schutz","0.004"
"394","Schutzmaßnahmen","0.004"
"395","Schwung","0.238"
"396","Schönheit","0.3286"
"397","Selbstständigkeit","0.004"
"398","Sensation","0.004"
"399","Seriösität","0.004"
"400","Sicherheit","0.004"
"401","Siegeszug","0.004"
"402","Sinn","0.004"
"403","Solidarität","0.004"
"404","Sorgfältigkeit","0.004"
"405","Sorglosigkeit","0.004"
"406","Sparsamkeit","0.004"
"407","Spass","0.2429"
"408","Spaß","0.2823"
"409","Spende","0.004"
"410","Spezialität","0.004"
"411","Sprung","0.004"
"412","Stabilität","0.004"
"413","Standhaftigkeit","0.004"
"414","Stattlichkeit","0.004"
"415","Steigerung","0.004"
"416","Steigflug","0.004"
"417","Stifter","0.004"
"418","Stiftung","0.004"
"419","Stil","0.3398"
"420","Stimulation","0.004"
"421","Stolz","0.0797"
"422","Stärke","0.004"
"423","Stütze","0.004"
"424","Subvention","0.004"
"425","Suchtfaktor","0.004"
"426","Superlativ","0.004"
"427","Symbiose","0.004"
"428","Sympathie","0.004"
"429","Talent","0.3352"
"430","Toleranz","0.004"
"431","Tradition","0.004"
"432","Treue","0.2019"
"433","Triumph","0.004"
"434","Trophäe","0.004"
"435","Trost","0.0706"
"436","Umbruch","0.004"
"437","Unabhängigkeit","0.004"
"438","Unbesiegbarkeit","0.004"
"439","Unerschrockenheit","0.004"
"440","Unfehlbarkeit","0.004"
"441","Unparteilichkeit","0.004"
"442","Unschuld","0.004"
"443","Unsterblichkeit","0.004"
"444","Unterstützung","0.004"
"445","Unverwundbarkeit","0.004"
"446","Unverzichtbarkeit","0.004"
"447","Unwiderstehlichkeit","0.004"
"448","Upgrade","0.004"
"449","Verantwortung","0.004"
"450","Verband","0.004"
"451","Verbesserung","0.004"
"452","Verbund","0.004"
"453","Verbundenheit","0.004"
"454","Verbündete","0.004"
"455","Verdienst","0.004"
"456","Veredelung","0.004"
"457","Verehrung","0.004"
"458","Vereinbarung","0.004"
"459","Vereinfachung","0.004"
"460","Vereinigung","0.004"
"461","Vererbung","0.004"
"462","Verfeinerung","0.004"
"463","Vergebung","0.004"
"464","Vergrößerung","0.004"
"465","Vergötterung","0.004"
"466","Verhandelung","0.004"
"467","Verlobung","0.004"
"468","Verlöbnis","0.004"
"469","Vermittlung","0.004"
"470","Vernunft","0.004"
"471","Verschönerung","0.004"
"472","Versicherung","0.004"
"473","Versprechen","0.004"
"474","Verstand","0.004"
"475","Verständnis","0.004"
"476","Verstärkung","0.004"
"477","Versöhnung","0.004"
"478","Verteidiger","0.004"
"479","Verteidigung","0.004"
"480","Vertrag","0.004"
"481","Vertrauen","0.3512"
"482","Vertrauenswürdigkeit","0.004"
"483","Vertrauter","0.004"
"484","Vertrautheit","0.004"
"485","Verwendbarkeit","0.004"
"486","Verwirklichung","0.004"
"487","Vielseitigkeit","0.004"
"488","Vielzahl","0.004"
"489","Visionär","0.004"
"490","Vitalität","0.004"
"491","Vollständigkeit","0.004"
"492","Vorbereitung","0.004"
"493","Vorsicht","0.004"
"494","Vorsorge","0.004"
"495","Vorteil","0.004"
"496","Wachsamkeit","0.004"
"497","Wachstum","0.004"
"498","Wahrheit","0.004"
"499","Weichheit","0.004"
"500","Weisheit","0.004"
"501","Weitsichtigkeit","0.004"
"502","Wert","0.004"
"503","Wertschätzung","0.004"
"504","Wertsteigerung","0.004"
"505","Widerstandsfähigkeit","0.004"
"506","Wiederbelebung","0.004"
"507","Wiedergutmachung","0.004"
"508","Wiederherstellung","0.004"
"509","Wiederkehr","0.004"
"510","Wiedervereinigung","0.004"
"511","Wille","0.004"
"512","Wirksamkeit","0.004"
"513","Wissen","0.004"
"514","Witz","0.004"
"515","Wohlergehen","0.004"
"516","Wohlgefallen","0.004"
"517","Wohlstand","0.004"
"518","Wohltat","0.004"
"519","Wohltäter","0.004"
"520","Wohltätigkeit","0.004"
"521","Wohlwollen","0.004"
"522","Wunder","0.0741"
"523","Wärme","0.004"
"524","Zenit","0.004"
"525","Ziel","0.004"
"526","Zuflucht","0.004"
"527","Zufriedenheit","0.2207"
"528","Zugabe","0.0882"
"529","Zugänglichkeit","0.004"
"530","Zulage","0.004"
"531","Zulässigkeit","0.004"
"532","Zuneigung","0.004"
"533","Zusammenarbeit","0.0893"
"534","Zusammengehörigkeit","0.004"
"535","Zusammenhalt","0.1947"
"536","Zuschuß","0.004"
"537","Zustimmung","0.004"
"538","Zuverlässigkeit","0.004"
"539","Zuversicht","0.0727"
"540","abgesichert","0.004"
"541","abmachen","0.004"
"542","abschließen","0.004"
"543","absolut","0.2418"
"544","abstimmen","0.004"
"545","abwechslungsreich","0.5797"
"546","addieren","0.004"
"547","adrett","0.1987"
"548","agil","0.1959"
"549","akkurat","0.004"
"550","aktiv","0.0911"
"551","aktualisieren","0.004"
"552","aktuell","0.004"
"553","akzeptabel","0.004"
"554","akzeptieren","0.004"
"555","allerbeste","0.004"
"556","allererste","0.004"
"557","allgemeingültig","0.004"
"558","allumfassend","0.004"
"559","anbieten","0.004"
"560","anerkannt","0.0785"
"561","anerkennen","0.004"
"562","anerkennenswert","0.004"
"563","angemessen","0.004"
"564","angenehm","0.4887"
"565","angesehen","0.004"
"566","anheben","0.004"
"567","anheitern","0.004"
"568","ankurbeln","0.004"
"569","anlocken","0.004"
"570","annehmbar","0.004"
"571","annähern","0.004"
"572","anpassen","0.004"
"573","anpassungsfähig","0.0799"
"574","anreichern","0.004"
"575","ansehnlich","0.0931"
"576","ansprechend","0.3382"
"577","anspruchsvoll","0.2216"
"578","ansteigen","0.004"
"579","anständig","0.0977"
"580","anteilig","0.004"
"581","anvertrauen","0.004"
"582","anziehen","0.004"
"583","applaudieren","0.004"
"584","artig","0.225"
"585","atemberaubend","0.3261"
"586","attraktiv","0.2162"
"587","aufbereiten","0.004"
"588","aufbessern","0.004"
"589","aufblühen","0.0845"
"590","auferstehen","0.004"
"591","aufmerksam","0.004"
"592","aufmuntern","0.004"
"593","aufmunternd","0.004"
"594","aufrecht","0.004"
"595","aufrichtig","0.004"
"596","aufschwingen","0.004"
"597","aufsteigen","0.004"
"598","aufstocken","0.004"
"599","auftreiben","0.004"
"600","aufwendig","0.004"
"601","aufwerten","0.004"
"602","aufwärts","0.004"
"603","ausbauen","0.004"
"604","ausbilden","0.004"
"605","ausdauern","0.004"
"606","ausführlich","0.004"
"607","ausgeflippt","0.0756"
"608","ausgeglichen","0.0987"
"609","ausgeweitet","0.004"
"610","ausgewogen","0.206"
"611","ausgewählt","0.004"
"612","ausgezeichnet","0.3146"
"613","ausgleichen","0.004"
"614","auskommen","0.004"
"615","auskurieren","0.004"
"616","ausreichen","0.004"
"617","ausreichend","0.004"
"618","aussichtsreich","0.004"
"619","ausweiten","0.004"
"620","auszeichnen","0.004"
"621","authentisch","0.1885"
"622","autonom","0.004"
"623","außergewöhnlich","0.3395"
"624","außerordentlich","0.1137"
"625","bahnbrechend","0.004"
"626","barmherzig","0.0744"
"627","beachtenswert","0.004"
"628","beachtlich","0.004"
"629","beauftragen","0.004"
"630","bedarfsgerecht","0.004"
"631","bedarfsorientiert","0.004"
"632","bedarft","0.004"
"633","bedenken","0.004"
"634","bedeuten","0.004"
"635","bedeutend","0.004"
"636","bedeutsam","0.004"
"637","beeindrucken","0.2126"
"638","beeindruckend","0.3408"
"639","befreien","0.004"
"640","befriedigen","0.0809"
"641","befriedigend","0.2152"
"642","befördern","0.004"
"643","begehrt","0.004"
"644","begeistern","0.4324"
"645","beglückend","0.004"
"646","begnadet","0.004"
"647","begnadigen","0.004"
"648","begünstigen","0.004"
"649","behaglich","0.2007"
"650","beheben","0.004"
"651","beheizbar","0.004"
"652","beherrscht","0.4635"
"653","behutsam","0.004"
"654","behütet","0.004"
"655","beilegen","0.004"
"656","beispielhaft","0.004"
"657","beisteuern","0.004"
"658","beitragen","0.004"
"659","beitreten","0.004"
"660","bejubelt","0.004"
"661","bekannt","0.004"
"662","bekennend","0.004"
"663","bekräftigen","0.004"
"664","belastbar","0.004"
"665","beleben","0.004"
"666","belehrbar","0.004"
"667","beliebt","0.2172"
"668","belohnen","0.0893"
"669","bemerkenswert","0.4515"
"670","beneidenswert","0.004"
"671","bequem","0.2344"
"672","berauschend","0.0809"
"673","bereichern","0.0718"
"674","bereit","0.004"
"675","bereitstellen","0.004"
"676","beruhigen","0.004"
"677","beruhigend","0.2133"
"678","berühmt","0.3267"
"679","bescheiden","0.0956"
"680","beschleunigen","0.004"
"681","beschwichtigen","0.004"
"682","besitzen","0.004"
"683","besondere","0.004"
"684","besonderer","0.004"
"685","besonders","0.5391"
"686","besonnen","0.004"
"687","besser","0.004"
"688","bessern","0.004"
"689","bestehen","0.004"
"690","besten","0.2291"
"691","bestens","0.0808"
"692","bestmöglich","0.004"
"693","bestätigen","0.0854"
"694","beteiligen","0.004"
"695","beträchtlich","0.004"
"696","bevorzugt","0.004"
"697","bewegend","0.004"
"698","bewirken","0.004"
"699","bewundern","0.004"
"700","bewundernswert","0.0823"
"701","bewundert","0.004"
"702","bewährt","0.465"
"703","bezaubernd","0.3081"
"704","blendend","0.3096"
"705","blühen","0.2028"
"706","bombastisch","0.2053"
"707","bombig","0.0837"
"708","boomen","0.004"
"709","brandneu","0.004"
"710","bravourös","0.004"
"711","breitgefächert","0.004"
"712","brillant","0.3064"
"713","brilliant","0.183"
"714","brillieren","0.004"
"715","brüderlich","0.004"
"716","bunt","0.3507"
"717","bärenstark","0.004"
"718","charakterstark","0.004"
"719","charismatisch","0.004"
"720","charmant","0.3223"
"721","chic","0.0787"
"722","clever","0.2243"
"723","cool","0.004"
"724","dankbar","0.0854"
"725","danken","0.191"
"726","dauerhaft","0.205"
"727","denkwürdig","0.004"
"728","detailliert","0.004"
"729","dienlich","0.004"
"730","diplomatisch","0.004"
"731","diskret","0.004"
"732","diszipliniert","0.004"
"733","dufte","0.1958"
"734","duften","0.2132"
"735","durchdacht","0.2131"
"736","durchhalten","0.004"
"737","durchschlagend","0.004"
"738","dynamisch","0.004"
"739","edel","0.2235"
"740","effektiv","0.0971"
"741","effektvoll","0.004"
"742","effizient","0.004"
"743","ehren","0.0612"
"744","ehrenwert","0.004"
"745","ehrfürchtig","0.004"
"746","ehrgeizig","0.2076"
"747","ehrlich","0.1212"
"748","ehrwürdig","0.004"
"749","eifern","0.004"
"750","eifrig","0.004"
"751","eignen","0.1006"
"752","eindeutig","0.004"
"753","eindrucksvoll","0.3001"
"754","einfach","0.004"
"755","einfallsreich","0.2031"
"756","einflußreich","0.004"
"757","einhalten","0.004"
"758","einheitlich","0.004"
"759","einkaufen","0.2249"
"760","einmalig","0.3137"
"761","einnehmen","0.004"
"762","einsparen","0.004"
"763","einträglich","0.004"
"764","einwandfrei","0.0949"
"765","einweihen","0.004"
"766","einzigartig","0.3078"
"767","elegant","0.2115"
"768","empathisch","0.004"
"769","empfehlen","0.004"
"770","empfehlenswert","0.093"
"771","energisch","0.004"
"772","engagieren","0.004"
"773","engagiert","0.0869"
"774","enorm","0.0898"
"775","enthusiastisch","0.004"
"776","entlasten","0.004"
"777","entlohnen","0.004"
"778","enträtseln","0.004"
"779","entschlossen","0.004"
"780","entschlüsseln","0.004"
"781","entschädigen","0.004"
"782","entspannen","0.2406"
"783","entwirren","0.004"
"784","entzückend","0.0844"
"785","epochal","0.004"
"786","erarbeiten","0.004"
"787","erben","0.004"
"788","erfahren","0.0927"
"789","erfolgreich","0.2193"
"790","erfreuen","0.2112"
"791","erfreulich","0.2197"
"792","erfreulicher","0.004"
"793","erfrischend","0.2227"
"794","erfüllen","0.004"
"795","ergebnisreich","0.004"
"796","ergiebig","0.004"
"797","ergänzen","0.2074"
"798","erhalten","0.004"
"799","erhebend","0.004"
"800","erheblich","0.004"
"801","erholen","0.2357"
"802","erholsam","0.2188"
"803","erhältlich","0.004"
"804","erhöhen","0.004"
"805","erkennbar","0.004"
"806","erklimmen","0.004"
"807","erklärt","0.004"
"808","erlauben","0.004"
"809","erleichtern","0.004"
"810","erleuchten","0.004"
"811","erlösen","0.004"
"812","ermunternd","0.004"
"813","ermutigen","0.004"
"814","ermutigend","0.0735"
"815","ermöglichen","0.004"
"816","erneuern","0.004"
"817","ernsthaft","0.004"
"818","erreichen","0.004"
"819","erschaffen","0.004"
"820","erschlossen","0.004"
"821","ersprießlich","0.004"
"822","erstaunen","0.004"
"823","erstaunlich","0.004"
"824","erstklassig","0.1967"
"825","erstrangig","0.004"
"826","erstrebenswert","0.0765"
"827","ertragreich","0.004"
"828","erweitern","0.004"
"829","erweitert","0.004"
"830","erwünscht","0.004"
"831","erzeugen","0.004"
"832","erzielen","0.004"
"833","etabliert","0.004"
"834","euphorisch","0.5505"
"835","exakt","0.004"
"836","exklusiv","0.004"
"837","exorbitant","0.004"
"838","exotisch","0.1944"
"839","explosiv","0.004"
"840","exponiert","0.004"
"841","exquisit","0.004"
"842","extravagant","0.004"
"843","exzellent","0.4198"
"844","fabelhaft","0.1952"
"845","fair","0.3281"
"846","famos","0.2018"
"847","fantasievoll","0.004"
"848","fantastisch","0.3319"
"849","faszinieren","0.0663"
"850","faszinierend","0.3037"
"851","favorisieren","0.004"
"852","fehlerfrei","0.004"
"853","feiern","0.494"
"854","fein","0.4734"
"855","fertig","0.3757"
"856","fertigen","0.004"
"857","fesch","0.0806"
"858","fesselnd","0.004"
"859","festlich","0.2021"
"860","fidel","0.004"
"861","finanzieren","0.004"
"862","findig","0.004"
"863","fit","0.3686"
"864","fleißig","0.3571"
"865","flexibel","0.004"
"866","flink","0.0878"
"867","florieren","0.004"
"868","flott","0.3394"
"869","flüssig","0.2229"
"870","formvollendet","0.004"
"871","fortdauernd","0.004"
"872","fortschreiten","0.004"
"873","frei","0.004"
"874","freikommen","0.004"
"875","freisprechen","0.004"
"876","freiwillig","0.004"
"877","freudig","0.3256"
"878","freuen","0.2198"
"879","freundlich","0.6022"
"880","freundschaftlich","0.004"
"881","friedlich","0.0924"
"882","friedvoll","0.0908"
"883","froh","0.1364"
"884","frohlocken","0.004"
"885","fruchtbar","0.0878"
"886","fröhlich","0.2501"
"887","fulminant","0.004"
"888","funkeln","0.004"
"889","funktionieren","0.004"
"890","funktionierend","0.2022"
"891","funktionsfähig","0.004"
"892","furchtlos","0.004"
"893","fähig","0.004"
"894","fördern","0.004"
"895","führen","0.004"
"896","führend","0.004"
"897","füllen","0.004"
"898","galant","0.004"
"899","garantiert","0.004"
"900","gastfreundlich","0.0854"
"901","gedeihen","0.2166"
"902","gedeihlich","0.004"
"903","gediegen","0.0831"
"904","geduldig","0.3342"
"905","geeignet","0.0974"
"906","gefallen","0.2578"
"907","gefeiert","0.3403"
"908","gefesselt","0.004"
"909","gefestigt","0.004"
"910","gefragt","0.004"
"911","geglückt","0.004"
"912","gehorsam","0.004"
"913","gehörig","0.004"
"914","geil","0.004"
"915","gelassen","0.2325"
"916","geliebt","0.2315"
"917","gelohnt","0.5859"
"918","gelungen","1"
"919","gemeinsam","0.004"
"920","gemeinschaftlich","0.004"
"921","gemütlich","0.368"
"922","genau","0.004"
"923","genehm","0.004"
"924","genehmigen","0.004"
"925","genesen","0.004"
"926","genial","0.2156"
"927","genießbar","0.004"
"928","genießen","0.4983"
"929","genügend","0.1019"
"930","geordnet","0.0936"
"931","gepflegt","0.3499"
"932","gerecht","0.004"
"933","gerechtfertigt","0.004"
"934","geruhsam","0.0769"
"935","geräumig","0.1008"
"936","gerührt","0.446"
"937","geschickt","0.004"
"938","geschmackvoll","0.2116"
"939","geschäftig","0.004"
"940","geschätzt","0.004"
"941","gesteigert","0.004"
"942","gestiegen","0.004"
"943","gesund","0.1554"
"944","getreu","0.004"
"945","gewachsen","0.1201"
"946","gewaltfrei","0.004"
"947","gewaltig","0.004"
"948","gewichtig","0.004"
"949","gewinnbringend","0.004"
"950","gewinnen","0.004"
"951","gewissenhaft","0.004"
"952","gewährleisten","0.004"
"953","gewünscht","0.004"
"954","gezielt","0.004"
"955","gigantisch","0.5459"
"956","glamourös","0.004"
"957","glanzvoll","0.004"
"958","glasklar","0.004"
"959","glatt","0.1099"
"960","glaubwürdig","0.0893"
"961","gleichstellen","0.004"
"962","gleichwertig","0.004"
